City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mataura,NZ,68.49,broken clouds,-46.1927,168.8643,Ellie's Villa
3,Antalaha,MG,76.53,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
7,Encruzilhada,BR,68.14,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
8,Hithadhoo,MV,82.0,scattered clouds,-0.6,73.0833,Scoop Guest House
9,Kapaa,US,77.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Rikitea,PF,77.85,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
12,Vao,NC,77.52,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
13,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
16,Namatanai,PG,84.07,light rain,-3.6667,152.4333,Seagulls Inn Namatani
18,Busselton,AU,74.08,overcast clouds,-33.65,115.3333,Observatory Guest House
19,San Patricio,US,64.38,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
20,East London,ZA,67.14,scattered clouds,-33.0153,27.9116,Tu Casa
21,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
24,Narrabri,AU,94.51,broken clouds,-30.3167,149.7833,Crossroads Hotel
25,Kununurra,AU,94.98,clear sky,-15.7667,128.7333,Hotel Kununurra
26,Mkushi,ZM,63.81,overcast clouds,-13.6202,29.3939,Mkushi Police Club
29,La Macarena,CO,75.87,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
31,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
33,Guerrero Negro,MX,63.25,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
37,Santa Isabel Do Rio Negro,BR,72.77,broken clouds,-0.4139,-65.0192,Hotel GSA
38,Bluff,NZ,68.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Pipri,IN,61.38,haze,19.8,75.5333,Sukhana River nilu and rushi home
42,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Ribeira Grande,PT,61.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
52,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
55,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
56,Nishihara,JP,69.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
58,Lashio,MM,70.41,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
60,Phan Thiet,VN,84.6,few clouds,10.9333,108.1,Hotel Saigon-PT
61,Tuy Hoa,VN,77.99,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
