City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.31,66,100,27.63,overcast clouds
1,Vestmannaeyjar,IS,63.4427,-20.2734,42.87,88,100,21.14,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,68.49,52,55,4.76,broken clouds
3,Antalaha,MG,-14.9003,50.2788,76.53,88,100,4.12,overcast clouds
4,Andenes,NO,69.3143,16.1194,15.78,92,12,6.91,few clouds
5,Airai,TL,-8.9266,125.4092,71.11,75,48,3.29,scattered clouds
6,Barrow,US,71.2906,-156.7887,-14.78,64,0,0.0,clear sky
7,Encruzilhada,BR,-15.5314,-40.9094,68.14,98,100,1.97,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,82.0,71,26,6.11,scattered clouds
9,Kapaa,US,22.0752,-159.319,77.32,70,0,1.99,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.85,79,100,20.49,overcast clouds
11,Vaini,TO,-21.2,-175.2,77.16,94,100,8.05,light rain
12,Vao,NC,-22.6667,167.4833,77.52,77,0,21.12,clear sky
13,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,0,5.75,clear sky
14,Matay,EG,28.419,30.7792,48.38,40,0,6.24,clear sky
15,Halifax,CA,44.6453,-63.5724,44.65,95,100,8.01,overcast clouds
16,Namatanai,PG,-3.6667,152.4333,84.07,70,90,9.48,light rain
17,Moose Factory,CA,51.2585,-80.6094,-5.8,71,100,16.11,overcast clouds
18,Busselton,AU,-33.65,115.3333,74.08,32,100,3.0,overcast clouds
19,San Patricio,US,28.017,-97.5169,64.38,60,100,19.33,overcast clouds
20,East London,ZA,-33.0153,27.9116,67.14,94,40,16.11,scattered clouds
21,Avarua,CK,-21.2078,-159.775,82.45,74,75,12.66,broken clouds
22,Ushuaia,AR,-54.8,-68.3,41.36,86,80,6.82,broken clouds
23,Rudbar,AF,30.15,62.6,46.18,41,0,2.84,clear sky
24,Narrabri,AU,-30.3167,149.7833,94.51,38,75,2.3,broken clouds
25,Kununurra,AU,-15.7667,128.7333,94.98,52,8,8.05,clear sky
26,Mkushi,ZM,-13.6202,29.3939,63.81,89,100,2.24,overcast clouds
27,Thessalon,CA,46.2501,-83.5666,10.89,90,100,20.83,light snow
28,Suraabad,AZ,40.8192,49.4687,46.58,81,31,5.57,scattered clouds
29,La Macarena,CO,2.1837,-73.7849,75.87,63,99,3.69,overcast clouds
30,Rio Gallegos,AR,-51.6226,-69.2181,53.65,47,75,6.91,broken clouds
31,Luanda,AO,-8.8368,13.2343,75.2,94,40,9.22,scattered clouds
32,Garmsar,IR,35.2182,52.3409,40.14,45,20,1.45,few clouds
33,Guerrero Negro,MX,27.9769,-114.0611,63.25,60,99,7.27,overcast clouds
34,Tiksi,RU,71.6872,128.8694,-3.55,85,100,23.15,overcast clouds
35,Jamestown,US,42.097,-79.2353,27.09,53,100,8.01,overcast clouds
36,Amol,IR,36.4696,52.3507,46.6,71,9,4.0,clear sky
37,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.77,93,68,2.26,broken clouds
38,Bluff,NZ,-46.6,168.3333,68.81,84,77,11.81,broken clouds
39,Nikolskoye,RU,59.7035,30.7861,24.69,98,96,2.75,overcast clouds
40,Fasa,IR,28.9383,53.6482,31.24,80,0,0.0,clear sky
41,Pipri,IN,19.8,75.5333,61.38,63,40,2.3,haze
42,Butaritari,KI,3.0707,172.7902,81.77,78,81,17.43,broken clouds
43,Bethel,US,41.3712,-73.414,38.5,91,20,4.0,few clouds
44,Ribeira Grande,PT,38.5167,-28.7,61.14,78,100,23.04,overcast clouds
45,Leningradskiy,RU,69.3833,178.4167,-14.71,92,63,2.33,broken clouds
46,Pevek,RU,69.7008,170.3133,-13.54,99,98,2.84,overcast clouds
47,Ossora,RU,59.2353,163.0719,10.67,95,96,5.64,overcast clouds
48,Albany,US,42.6001,-73.9662,35.1,71,100,3.0,overcast clouds
49,Asind,IN,25.7333,74.3333,54.55,60,0,4.34,clear sky
50,Tokuyama,JP,34.05,131.8167,54.91,55,12,4.88,few clouds
51,Tiznit,MA,29.5833,-9.5,52.52,31,79,1.99,broken clouds
52,Hilo,US,19.7297,-155.09,76.73,87,75,5.75,broken clouds
53,Ugoofaaru,MV,5.6667,73.0,81.09,75,100,9.57,overcast clouds
54,Ozimek,PL,50.6794,18.2137,34.2,94,100,2.71,overcast clouds
55,Tautira,PF,-17.7333,-149.15,80.62,85,72,24.61,light rain
56,Nishihara,JP,26.1842,127.7558,69.46,60,75,10.36,broken clouds
57,Gerash,IR,27.6652,54.1371,35.74,50,1,1.9,clear sky
58,Lashio,MM,22.9333,97.75,70.41,46,1,1.39,clear sky
59,Suez,EG,29.9737,32.5263,52.32,43,0,6.15,clear sky
60,Phan Thiet,VN,10.9333,108.1,84.6,57,16,9.71,few clouds
61,Tuy Hoa,VN,13.0833,109.3,77.99,75,38,7.2,scattered clouds
62,Nanortalik,GL,60.1432,-45.2371,18.81,78,96,32.21,overcast clouds
63,Pundaguitan,PH,6.3711,126.1689,81.32,78,99,7.83,overcast clouds
64,Atuona,PF,-9.8,-139.0333,79.09,74,91,18.39,light rain
65,Bubaque,GW,11.2833,-15.8333,78.94,53,100,25.32,overcast clouds
66,Ola,RU,59.5833,151.2833,13.93,79,100,10.38,overcast clouds
67,Ancud,CL,-41.8697,-73.8203,59.43,95,7,4.25,clear sky
68,Mount Gambier,AU,-37.8333,140.7667,91.31,19,70,6.91,broken clouds
69,Cape Town,ZA,-33.9258,18.4232,68.41,79,75,1.99,broken clouds
70,Mahebourg,MU,-20.4081,57.7,75.49,100,75,3.44,broken clouds
